#This dataset contains all Airdisasters from the past 20 years;;;;;;;;;;;;;;;;;
date;type;registration;operator;location;first_flight;crew;passengers;aircraft_damage;phase;nature;departure_airport;destination_airport;narrative;time;airplane_type;airline;accident_date
6-jun-16;MD-11F;N277UP;UPS;Seoul-Incheo...;1995;Fatalities: 0 / Occupants: 4;Fatalities: 0 / Occupants: 0;Substantial;Takeoff (TOF);Cargo;Seoul-Incheon International Airport (ICN/RKSI), South Korea;Anchorage-Ted Stevens International Airport, AK (ANC/PANC), United States of America;"UPS flight 5X61 suffered a runway excursion and nose gear collapse in a takeoff accident at Seoul-Incheon International Airport (ICN). The aircraft, an McDonnell Douglas MD-11F cargo plane was bound for Anchorage, Alaska. 
Takeoff from runway 33L was aborted and the aircraft continued past the end of the runway. The nose gear collapsed and the no. 1 and 3 engines contacted the grass.

The runway was Notamed closed after the accident: 
A0854/16 - RWY 15R/33L CLSD DUE TO ACFT ACCIDENT. 06 JUN 14:18 2016 UNTIL 06 SEP 14:17 2016. 
CREATED: 06 JUN 14:19 2016";22:45;McDonnell Douglas MD-11F;United Parcel Service - UPS;Monday 6 June 2016
09-MAR-2002;Antonov An-2TP;LY-AVD;Svedijos Prekés;near Rocca di Mezzo;1972;Fatalities: 2 / Occupants: 2;Fatalities: 1 / Occupants: 1;Damaged beyond repair;En route (ENR);Unknown;Budapest-Ferihegy Airport (BUD/LHBP), Hungary;Tunis-Carthage Airport (TUN/DTTA), Tunisia;"Antonov 2 LY-AVD departed from Budapest at 08:29 for a VFR flight with destination Tunis. According to the flight plan the track would over fly Split, Pescara, the crossing of the Apennines towards Ostia and then onwards its destination, Tunis. The meteorological conditions over the central part of Italy on that March the 9th were characterized by a cold front associated with numerous thunderstorm areas, low cloud coverage over the mountainous Apennines accompanied by icing conditions. After leaving Split, and crossing the Adriatic sea LY-AVD over flew Pescara at 13:20 where the pilot informed the local ATC that the aircraft was inbound Aneda (a reporting point 19 NM East of Monte Rotondo) at a cruising altitude of 5.500 feet (1.676 m). While in vicinity of Pescara, ATC requested and obtained confirmation from LY-AVD that VFR conditions were maintainable. The radio communication ended with the instruction to LY-AVD
to contact Rome AIS Centre. There is no record of communication attempt by the crew and it is presumed that the aircraft, soon after that radio communication, impacted with the Monte Rotondo mountain side at an altitude of 6.167 feet (1.880 m) with an estimated ground speed of 115 Kts.";13:39;Antonov 2TP;Svedijos Prekés;Saturday 9 March 2002
21-MAY-2002;Let L-410UVP;9Q-CGX;Sky Executive;near Calabar Airp...;1985;Fatalities: 5 / Occupants: 5;Fatalities: 0 / Occupants: 0;Destroyed;Approach (APR);Ferry/positioning;Port Harcourt Airport (PHC/DNPO), Nigeria;Calabar Airport (CBQ/DNCA), Nigeria;Let 410 9Q-CEX was being flown by a Congolese crew on behalf of the Nigerian airline company Sky Executive Airlines. The aircraft departed Abuja around 16:30 for a passenger flight to Port Harcourt. At Port Harcourt all passengers disembarked. The aircraft then took off for a ferry flight to Calabar. On approach the pilot declared an emergency due to an electrical failure. At 65 km out the crew commenced a descent to 2500 feet. The descent was continued past this altitude until the Let crashed in a swamp. During the investigation into the cause of the accident it was found out that the aircraft was non-compliant with the maintenance requirements, and proper documentation of the aircraft and crew members. Also, the plane had exceeded the prescribed annual inspection time by 248 hours, and the engines were not maintained in accordance with the standard procedure. Contrary to NCAA regulations a Flight Data Recorder (FDR), nor a Cockpit Voice Recorder (CVR) were installed.;19:42;Let L-410UVP;Sky Executive Airlines;Tuesday 21 May 2002
28-jul-12;Beech B200 Super King Air;PR-DOC;Vilma Alimentos;Juiz de Fora...;2009;Fatalities: 2 / Occupants: 2;Fatalities: 6 / Occupants: 6;Destroyed;Approach (APR);Executive;Belo Horizonte-Pampulha Airport, MG (PLU/SBBH), Brazil;Juiz de Fora-Francisco de Assis Airport, MG (JDF/SBJF), Brazil;"A Beechcraft B200 Super King Air, PR-DOC, was destroyed when it impacted trees, structures, and electrical power lines 245 meters prior to the landing threshold of runway 03 at Juiz de Fora-Francisco de Assis Airport, MG (JDF), Brazil. The foreign certificated pilots and 6 passengers received fatal injuries. The flight departed Belo Horizonte-Pampulha Airport, MG (PLU), Brazil. 
Upon departure at 07:00 (10:00 UTC), the crew was not aware of the 09:20 UTC special weather report, with information that the weather conditions had deteriorated and were below the minima for IFR operations, with a ceiling of 400 ft.
This information was given when the crew contacted Juiz de Fora Radio at 07:30. Ceiling was now 100 ft. The crew decided to proceed and perform the runway 03 RNAV (GNSS) non-precision procedure. On the final approach, the aircraft collided with obstacles and then with the ground.
The President, Vice President and other executives of Vilma Alimentos, a Brazilian food company, were killed in the accident.";07:45;Beechcraft B200 Super King Air;Vilma Alimentos;Saturday 28 July 2012
07-MAY-2005;Swearingen SA227-DC Metro 23;VH-TFU;Transair Australia, op.for Aero-Tropics;near Lockhart Riv...;1992;Fatalities: 2 / Occupants: 2;Fatalities: 13 / Occupants: 13;Damaged beyond repair;Approach (APR);Domestic Scheduled Passenger;Bamaga Airport, QLD (ABM/YBAM), Australia;Lockhart River Airport, QLD (IRG/YLHR), Australia;"The pilot in command and copilot commenced duty in Cairns for the scheduled Cairns (CNS) - Lockhart River (IRG) - Bamaga (ABM) - Lockhart River (IRG) - Cairns (CNS) flight. The flight was operated by Transair but conducted on behalf of Aero-Tropics Air Services. Aero-Tropics would provide ground handling, pilot briefing facilities and marketing services. Transair provided the airplane and crew.
The Metro 23 aircraft departed Cairns at 08:31. During the descent to Lockhart River on the northbound flight, the crew intended to perform a runway 30 RNAV (GNSS) approach. Late in the approach, the crew appropriately manoeuvred the aircraft to land on runway 12. The engines were shutdown at 09:50. The aircraft departed Lockhart River at 09:58 and arrived at Bamaga at 10:39. The aircraft was refuelled at Bamaga for the return flight to Cairns via Lockhart River to collect two passengers. The pilot in command commented to the ground agent prior to departing Bamaga that the weather was 'bad' at Lockhart River and it may not be possible to land there. The forecast conditions at the aerodrome included a broken10 cloud base 1,000 ft above the aerodrome for periods of up to 60 minutes. The aircraft departed Bamaga at 11:07 and climbed to the cruising altitude of FL170. Descent was commenced at 11:32. Three minutes later the copilot advised Brisbane ATC that the aircraft was on descent, passing 10,000 ft AMSL with an estimated time of arrival at Lockhart River of 11:38. At 11:39 the copilot broadcast on the CTAF (Common Traffic Advisory Frequency) that the crew was conducting the runway 12 RNAV (GNSS) approach, and that the aircraft was at the 'Whisky Golf' (LHRWG) waypoint and tracking for the 'Whisky India' (LHRWI) waypoint. At 11:41 the airplane was over the LHRWI intermediate fix and descent was recommenced at 4.8 NM from the LHRWF waypoint. This was 3.1 NM before the descent point specified on the approach chart for the 3.49 degree constant angle approach path to the missed approach point. After levelling briefly at 3000 feet 18 degrees of flaps were selected. The aircraft then commenced descent 1.4 NM before the final approach fix (FAF). This was 0.3 NM (approximately 7 seconds) after the descent point specified for the constant angle approach path. The average rate of descent was 1000 ft/min, increasing to 1700 ft/min. At 11:43 the Metro was over the FAF at an altitude of 2379 feet. The altitude at this stage should have been 2860 feet. The flight descended then through the segment minimum safe altitude of 2,060 ft. It continued to descend until it flew into the side of a heavily timbered ridge in the Iron Range National Park. The height of the initial impact with trees was 1,210 ft, which was about 90 ft below the crest of the ridge.";11:43;Swearingen SA227-DC Metro 23;null;Saturday 7 May 2005
3-jan-09;Learjet 45XR;N279AJ;Aero Jet Services;Telluride Re...;;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 0;Destroyed;Landing (LDG);Ferry/positioning;Scottsdale Airport, AZ (KSDL);Telluride Regional Airport, CO (TEX/KTEX), United States of America;"A Learjet 45, N279AJ, sustained substantial damage when attempting to land during a snowstorm at Telluride Regional Airport, CO (TEX). The positioning flight was conducted using instrument flight rules and had departed Scottsdale Airport, AZ (SDL) at 15:03 MST. The pilot occupying the left seat was not injured and the pilot occupying the right seat received minor injuries. 
In a statement to the NTSB provided by the Pilot-In-Command, upon arrival to TEX the weather was reported to be below minimums; the crew elected to hold over the Cones VOR and wait to see if weather conditions would improve. The crew was given instructions, by air traffic control, to hold as published and to expect further clearance (EFC) at 16:30. When the weather improved to a visibility of 4 miles and a ceiling of 2300 feet, the PIC requested a descent and approach to KTEX. At approximately 4 miles from the airport, the pilot acquired the airport environment but was not in position to land, so he called for a missed approach back to Cones VOR. The pilot then requested a second attempt to land stating that ""if we did not land, we would like to be sequenced to into KMTJ"" Montrose Regional Airport Montrose, CO, their alternate airport. On the second approach, both crew members stated that they had acquired the runway environment; however, they were still too high for a visual approach. The crew elected to do a 360-degree, right, descending turn, in order to get in a better position for landing. On completion of the turn, they again affirmed the runway environment and that they were aligned with the extended centerline of the runway. The airplane touched down and after full thrust reversers were deployed, the nose gear collapsed. The airplane began to slide in snow and came to a stop about mid-field, in an upright position.

An initial FAA examination of the area indicated that the airplane had touched down about 20-feet to the right, of the runway. Additionally, the airplane's wings were torn from the fuselage and the tail section had separated just aft of the engines, during the contact with the ground.

Weather reported at KTEX 10 minutes prior to the accident was winds 260 degrees at 8 knots, visibility of 3 miles, scattered clouds at 400 feet, broken clouds at 2300 feet, temperature of 6 degrees Celsius, dew point of 6 degrees Celsius, and altimeter setting 29.85 inches of mercury.";16:59;Learjet 45XR;Aero Jet Services;Saturday 3 January 2009
06-MAR-2003;Boeing 737-2T4;7T-VEZ;Air Algérie;Tamanrasset ...;1982-06-09  (20 years 9 months);Fatalities: 6 / Occupants: 6;Fatalities: 96 / Occupants: 97;Destroyed;Initial climb (ICL);Domestic Scheduled Passenger;Tamanrasset-Aguemar Airport (TMR/DAAT), Algeria;Ghardaïa-Noumérat Airport (GHA/DAUG), Algeria;"Air Algérie flight 6289 originated in Tamanrasset and was bound for Algiers, with an intermediate stop at Ghardaia. Takeoff was commenced from runway 02 with the co-pilot acting as pilot-in-command. The aircraft rotated and at 15:14:52 the co-pilot ordered the gear to be raised. At that moment, at a height of 78 feet and a speed of 158 kts, the no. 1 engine suffered a turbine failure. The captain took over control of the airplane. Three seconds later the co-pilot asked if she should raise the gear, but the captain did not respond. The 737 lost speed and at 15:15:06 the speed had dropped to 134 kts. Height at that moment was 398 ft. The aircraft, named ""Monts du Daia"", stalled and crashed and broke up on rocky terrain about 1645 metres past the runway.";15:15;Boeing 737-2T4;Air Algérie;Thursday 6 March 2003
10-jun-05;Lockheed L-100-30 Hercules;S9-BAS;UN, opb Transafrik;Lokichoggio ...;1972;Fatalities: 0 / Occupants: 5;Fatalities: 0 / Occupants: 0;Substantial;Landing (LDG);Cargo;El Obeid Airport (EBD/HSOB), Sudan;Lokichoggio Airport (LKG/HKLK), Kenya;"A HS-748 suffered landing gear problems, causing the airplane to end up on its belly, blocking Lokichoggio's single 1800-metre runway 09/27. 
Three other light aircraft, a Dornier 228, an Antonov 28 and a Cessna 208, landed safely at the airfield on runway 27 after the HS-748 accident. Two Antonov 12 aircraft inbound to Lokichoggio from Torit, Southern Sudan, diverted to Juba upon getting information of the runway obstruction.
Transafrik Hercules S9-BAS, flying for the United Nations World Food Programme, contacted Lokichoggio Tower at 14:30 hours. The aircraft was returning from a food air drop at Motot, Southern Sudan. The pilot was advised to divert to Eldoret International Airport but he opted to land at Lokichoggio. The Tower cleared the Hercules to land on runway 27 at the pilot’s discretion. The aircraft made a very heavy landing short of the runway and the top centre fuselage broke. The aircraft came to a stop about one kilometre from the touchdown point. Shortly before coming to a halt, the aircraft impacted the HS 748 with its right wing tip. The captain, the first officer, the flight engineer and the two loadmasters evacuated themselves safely.
A repair crew started to work on S9-BAS on site at Lokichoggio in May 2006. The fuselage was repaired but the contractor left before repairs were completed. The airplane was seen in November 2008 parked at Lokichoggio without landing gear, engines and vertical stabilizer.";14:59;Lockheed L-100-30 Hercules;null;Friday 10 June 2005
9-apr-07;Let L-410UVP;D6-CAK;Comores Aviation;Anjouan-Ouan...;1984;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 13;Substantial;Takeoff (TOF);Domestic Scheduled Passenger;Anjouan-Ouani Airport (AJN/FMCV), Comoros;Mohéli-Bandar es Eslam Airport (NWA/FMCI), Comoros;"A Let L-410UVP passenger plane, operating Comores Aviation flight KR611 sustained substantial damage in a runway excursion accident at Anjouan-Ouani Airport (AJN), Comoros. All fifteen on board survived the accident.
The crew aborted the takeoff from runway 28, but the airplane could not be stopped on the runway. It continued until it came to rest near a river bed. 
Runway 28 is a 1350 m / 	4429ft long asphalt runway.";11:30;Let L-410UVP;Comores Aviation;Monday 9 April 2007
14-apr-04;Beech 300 Super King Air;N301KS;Mass Bay Kustom Leasing;Daytona Beac...;1985;Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 1;Damaged beyond repair;Landing (LDG);Private;Stuart-Witham Field, FL (SUA/KSUA), United States of America;Daytona Beach-Spruce Creek Airport, FL, United States of America;"A Beechcraft 300 Super King Air, N301KS, crashed while maneuvering to land at Spruce Creek Airport, Daytona Beach, Florida. Visual meteorological conditions prevailed, and no flight plan was filed. The commercial-rated pilot received minor injuries, and one passenger received serious injuries, and the airplane was destroyed. The flight originated at Stuart-Witham Field, FL (SUA) the same day, about 18:45.

The pilot stated that he initiated a fuel transfer due to a fuel imbalance. To affect the fuel transfer, he said he ""began crossfeed right to left."" When the airplane was about 5 to 10 miles away from Spruce Creek Airport, the pilot said he began his descent from 12,500, and also executed a left turn to begin setting up to land, when suddenly, both engines ceased operating. When he levelled the wings both engines restarted due to auto-ignition. He said the fuel gages showed 300 to 350 lb of fuel for the right tank, and 100 to 150 pounds on the left, so he decided to continue his approach to Spruce Creek Airport. As he approached Spruce Creek Airport, he again entered a left bank to prepare for a left base to runway 23, and while established in the left turn, both engines ceased operating a second time. He said he did not think he could reach the runway, and decided to make an landing on a taxiway. When the wings became level after the turn, he said both engines again restarted while in the vicinity of the beginning of the taxiway. As he was about to land, he said a car pulled out onto the taxiway, and stopped on the centerline, so he applied power to avoid the car. He said he climbed straight out, and when he made a climbing left turn, he said the engines ceased operating a third time, and the airplane descended towards a cluster of condos. With no runway or clear area in sight, the pilot said he guided the airplane to a retention pond.";19:15;Beechcraft 300 Super King Air;Mass Bay Kustom Leasing;Wednesday 14 April 2004
6-jan-11;Learjet 35A;N800GP;Priester Aviation;Springfield-...;1978;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 4;Damaged beyond repair;Landing (LDG);Executive;Chicago-Midway Airport, IL (MDW/KMDW), United States of America;Springfield-Abraham Lincoln Capital Airport, IL (SPI/KSPI), United States of America;"A Learjet 35A corporate jet, registered N800GP, sustained substantial damage in a landing accident at Springfield-Abraham Lincoln Capital Airport, IL (SPI), USA. All four passengers and two crew members survived. The airplane operated on Priester Aviation flight 800 from Chicago-Midway Airport, IL (MDW) to Springfield-Abraham Lincoln Capital Airport, IL (SPI).
The en route and descent part of the flight were uneventful. The airplane accumulated a trace of rime ice during the descent and approach. The airframe anti-icing system was turned off upon intercepting the ILS glide slope, which was shortly before descending below the cloud layer. 
The copilot was the pilot flying at the time of the accident. He used the autopilot for the initial portion of the approach and then hand flew the airplane after breaking out of the clouds. 
The pilot stated that the master warning and stick shaker activated when the airplane was on short final. The airplane impacted left of the runway centerline before it ultimately departed the right side of the runway pavement. The airplane crossed a slight rise before coming to rest in the grass. 
A small fire was quickly put out by military staff, both pilots received minor back injuries, and there were no injuries among the four passengers.";11:00;Learjet 35A;Priester Aviation;Thursday 6 January 2011
1-jun-06;BAe 3101 Jetstream 31EP;HP-1477PS;Air Panamá;Bocas Del To...;1985;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 16;Substantial;Landing (LDG);Domestic Scheduled Passenger;Panama City Albrook-Marcos A. Gelabert International Airport (BLB/MPLB), Panama;Bocas Del Toro Airport (BOC/MPBO), Panama;Air Panama flight 680 landed at Bocas del Toro (BOC) and overran the runway. The aircraft came to rest in marshy terrain. It had been raining at or prior to the time of landing.;07:55;British Aerospace 3101 Jetstream 31EP;Air Panamá;Thursday 1 June 2006
